Name,Textbox3
"Great Smoky Mountains NP
Tent Campers",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2017,466,804,"5,052","7,625","18,698","27,956","32,332","25,972","16,581","21,680","2,890",408
2016,472,318,"4,768","7,722","21,678","39,072","42,480","23,122","20,480","27,452","2,874",136
2015,377,201,"3,415","6,674","21,120","25,471","39,369","26,622","21,240","26,340","1,796",359
2014,182,228,"2,676","7,394","11,830","29,312","39,592","23,599","14,628","19,624","1,466",619
2013,198,158,"2,958","7,126","14,324","27,192","29,581","22,664","15,261","7,221","1,447",129
2012,198,162,"2,605","8,066","19,386","33,005","31,745","20,988","15,846","17,386","2,540",129
2011,119,158,"2,982","7,840","12,432","29,471","36,124","20,989","16,671","15,376","2,786",129
2010,220,180,"1,259","6,589","14,433","31,860","36,913","22,326","16,871","20,536","3,178",139
2009,287,222,"3,545","7,239","16,567","31,136","37,785","24,808","12,926","16,733","3,126",478
2008,279,250,"3,839","5,650","15,393","28,296","33,111","24,726","12,709","15,088","2,930",578
2007,251,194,"4,162","4,545","14,918","33,002","38,753","26,220","16,272","20,438","4,156",578
2006,486,185,"3,215","6,446","11,475","26,686","33,414","20,434","15,001","16,757","2,317",578
2005,428,338,"3,276","5,277","13,149","24,793","36,518","19,824","11,420","15,836","3,695",578
2004,448,390,"3,428","6,500","11,226","25,263","36,940","20,533","11,815","17,028","2,079",578
2003,270,210,"3,002","7,898","12,878","25,910","37,705","29,972","15,183","18,603","2,344",515
2002,250,493,"3,734","5,134","12,884","25,832","41,356","29,628","14,298","18,831","2,112",301
2001,574,493,"2,097","6,102","13,697","25,667","30,591","30,242","16,961","17,239","2,566",495
2000,872,368,"5,188","8,163","14,453","32,561","41,326","32,555","19,231","18,833","3,075",545
1999,521,331,"3,659","10,138","12,938","35,235","42,868","39,468","20,378","19,826","4,700","1,107"
1998,701,557,"2,939","10,114","15,301","29,992","43,979","41,614","19,702","20,279","5,377",863
1997,612,327,"4,411","11,203","17,788","28,304","45,821","44,231","23,327","20,085","3,512",701
1996,0,0,0,"8,809","12,879","29,561","46,496","39,384","18,989","20,166","4,364",547
1995,903,488,"3,649","12,813","17,264","38,959","53,677","50,701","23,740","22,329","1,493",0
1994,733,365,"3,901","8,190","14,583","39,442","43,979","47,818","22,863","23,412","5,006","1,101"
1993,"1,379",464,"1,264","8,572","14,596","28,440","40,042","39,964","25,203","20,898","8,198",921
1992,"1,144",710,"3,564","8,754","16,455","31,365","41,873","45,417","20,408","21,675","4,614","1,521"
1991,494,553,"2,355","9,016","13,482","31,849","42,816","45,669","19,941","18,508","4,999","1,197"
1990,629,781,"4,232","8,878","13,182","29,858","38,596","45,043","20,504","15,636","4,947",641
1989,"1,017",486,"3,396","9,052","13,708","27,091","36,053","41,068","18,467","15,258","4,635",635
1988,771,453,"2,543","9,686","16,372","37,072","42,909","42,536","22,413","21,116","4,003",644
1987,"1,343",523,"3,452","8,901","19,020","35,484","41,419","46,113","22,652","21,479","5,095","1,049"
1986,"1,032",579,"2,519","5,885","7,886","30,261","38,546","44,537","20,629","20,712","5,389","1,229"
1985,981,231,"2,035","7,376","15,029","34,254","40,810","43,966","23,218","23,750","4,440","1,165"
1984,538,530,"1,986","5,604","13,202","30,596","31,816","39,069","23,274","19,418","4,244",601
1983,613,356,"2,453","4,818","12,851","28,195","39,879","42,281","22,965","17,062","3,190",760
1982,527,369,"2,287","12,875","21,155","39,942","49,779","49,646","26,098","24,196","2,193",537
1981,716,607,"3,075","13,233","18,226","33,711","39,874","42,729","25,899","17,640","2,926",917
1980,803,478,"2,379","12,862","20,963","32,837","41,730","40,103","20,531","22,314","2,788",401
1979,453,574,"2,820","15,482","18,318","33,779","39,778","47,729","30,049","21,199","2,488",896

